Elephant_seal_ID,Sex,ProcedureDate,ForagingBloodPairedSubset,ForagingHairPairedSubset,ForagingMusclePairedSubset,FastingBloodPairedSubset,FastingHairPairedSubset,FastingMusclePairedSubset,Foraging_Trip,TimePeriod_Cross_Foraging_Analysis,Fasting_Period,TimePeriod_Cross_Fasting_Analysis,Mass_Procedure_kg,Standard_Length_cm,Blood_THg_ppm_ww,Muscle_THg_ppm_dw,Hair_THg_ppm_dw
U604,Female,2/4/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,424,254,0.52,6.42,21.78
U605,Female,2/6/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,270,243,0.9,8.78,15.06
U627,Female,2/10/12,Yes,Yes,No,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,276,252,0.59,NA,13.68
U641,Female,1/6/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,325,250,0.57,8.66,17.35
U756,Female,2/19/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,299,258,0.46,5.09,14.17
U849,Female,2/17/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,300,255,0.79,5.64,18.89
U954,Female,2/4/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,256,243,1.13,7.68,22.91
VX358,Female,1/31/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,327,263,0.68,4.77,15.39
WX467,Female,2/15/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Pre-foraging,NA,NA,328,253,0.89,10.14,17.48
1317,Female,4/7/13,Yes,Yes,Yes,Yes,Yes,Yes,Post-breeding foraging trip,Post-foraging,Molting,Early Fasting,435,289,0.46,6.45,15.55
2161,Female,4/21/13,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,450,293,0.33,4.23,9.35
4534,Female,5/2/13,Yes,Yes,Yes,Yes,Yes,Yes,Post-breeding foraging trip,Post-foraging,Molting,Early Fasting,364,254,0.31,4.17,10.89
O18129,Female,4/26/13,Yes,Yes,Yes,Yes,Yes,Yes,Post-breeding foraging trip,Post-foraging,Molting,Early Fasting,464,265,0.45,6.16,4.79
